baseline_subtracted_value,background_subtracted_value,fluorescence_value,channel,well_num,cycle_num
11,-233,86,1,1,1
7,-237,85,1,1,2
11,-233,86,1,1,3
7,-237,85,1,1,4
7,-237,85,1,1,5
7,-237,85,1,1,6
3,-240,84,1,1,7
3,-240,84,1,1,8
7,-237,85,1,1,9
7,-237,85,1,1,10
3,-240,84,1,1,11
3,-240,84,1,1,12
3,-240,84,1,1,13
3,-240,84,1,1,14
3,-240,84,1,1,15
3,-240,84,1,1,16
3,-240,84,1,1,17
3,-240,84,1,1,18
3,-240,84,1,1,19
3,-240,84,1,1,20
3,-240,84,1,1,21
3,-240,84,1,1,22
0,-244,83,1,1,23
0,-244,83,1,1,24
0,-244,83,1,1,25
0,-244,83,1,1,26
0,-244,83,1,1,27
0,-244,83,1,1,28
0,-244,83,1,1,29
0,-244,83,1,1,30
0,-244,83,1,1,31
0,-244,83,1,1,32
0,-244,83,1,1,33
3,-240,84,1,1,34
0,-244,83,1,1,35
0,-244,83,1,1,36
0,-244,83,1,1,37
0,-244,83,1,1,38
0,-244,83,1,1,39
0,-244,83,1,1,40
0,-244,83,1,1,41
0,-244,83,1,1,42
0,-244,83,1,1,43
0,-244,83,1,1,44
0,-244,83,1,1,45
13,-257,127,1,2,1
10,-261,126,1,2,2
10,-261,126,1,2,3
10,-261,126,1,2,4
6,-264,125,1,2,5
6,-264,125,1,2,6
6,-264,125,1,2,7
6,-264,125,1,2,8
3,-268,124,1,2,9
3,-268,124,1,2,10
3,-268,124,1,2,11
3,-268,124,1,2,12
3,-268,124,1,2,13
3,-268,124,1,2,14
3,-268,124,1,2,15
3,-268,124,1,2,16
3,-268,124,1,2,17
3,-268,124,1,2,18
0,-271,123,1,2,19
0,-271,123,1,2,20
0,-271,123,1,2,21
0,-271,123,1,2,22
0,-271,123,1,2,23
0,-271,123,1,2,24
0,-271,123,1,2,25
0,-271,123,1,2,26
0,-271,123,1,2,27
0,-271,123,1,2,28
0,-271,123,1,2,29
0,-271,123,1,2,30
-3,-275,122,1,2,31
0,-271,123,1,2,32
0,-271,123,1,2,33
-3,-275,122,1,2,34
-3,-275,122,1,2,35
-3,-275,122,1,2,36
0,-271,123,1,2,37
0,-271,123,1,2,38
-3,-275,122,1,2,39
0,-271,123,1,2,40
-3,-275,122,1,2,41
-3,-275,122,1,2,42
-3,-275,122,1,2,43
-3,-275,122,1,2,44
-3,-275,122,1,2,45
7,-104,102,1,3,1
7,-104,102,1,3,2
3,-108,101,1,3,3
3,-108,101,1,3,4
3,-108,101,1,3,5
3,-108,101,1,3,6
0,-112,100,1,3,7
0,-112,100,1,3,8
0,-112,100,1,3,9
0,-112,100,1,3,10
0,-112,100,1,3,11
0,-112,100,1,3,12
3,-108,101,1,3,13
0,-112,100,1,3,14
0,-112,100,1,3,15
0,-112,100,1,3,16
0,-112,100,1,3,17
0,-112,100,1,3,18
0,-112,100,1,3,19
0,-112,100,1,3,20
0,-112,100,1,3,21
0,-112,100,1,3,22
0,-112,100,1,3,23
-3,-116,99,1,3,24
-3,-116,99,1,3,25
-3,-116,99,1,3,26
0,-112,100,1,3,27
0,-112,100,1,3,28
0,-112,100,1,3,29
-3,-116,99,1,3,30
-3,-116,99,1,3,31
0,-112,100,1,3,32
0,-112,100,1,3,33
0,-112,100,1,3,34
-3,-116,99,1,3,35
0,-112,100,1,3,36
-3,-116,99,1,3,37
-3,-116,99,1,3,38
-3,-116,99,1,3,39
-3,-116,99,1,3,40
-3,-116,99,1,3,41
-3,-116,99,1,3,42
-3,-116,99,1,3,43
-3,-116,99,1,3,44
-3,-116,99,1,3,45
57,625,418,1,4,1
54,621,417,1,4,2
43,611,414,1,4,3
36,603,412,1,4,4
32,600,411,1,4,5
25,593,409,1,4,6
21,589,408,1,4,7
18,585,407,1,4,8
14,582,406,1,4,9
10,578,405,1,4,10
7,574,404,1,4,11
7,574,404,1,4,12
3,571,403,1,4,13
0,567,402,1,4,14
0,567,402,1,4,15
-3,564,401,1,4,16
-3,564,401,1,4,17
-3,564,401,1,4,18
-7,560,400,1,4,19
-7,560,400,1,4,20
-10,556,399,1,4,21
-10,556,399,1,4,22
-10,556,399,1,4,23
-10,556,399,1,4,24
-10,556,399,1,4,25
-7,560,400,1,4,26
-3,564,401,1,4,27
7,574,404,1,4,28
21,589,408,1,4,29
43,611,414,1,4,30
65,632,420,1,4,31
83,650,425,1,4,32
97,665,429,1,4,33
115,683,434,1,4,34
130,697,438,1,4,35
141,708,441,1,4,36
151,719,444,1,4,37
162,730,447,1,4,38
169,737,449,1,4,39
177,744,451,1,4,40
184,752,453,1,4,41
191,759,455,1,4,42
198,766,457,1,4,43
202,770,458,1,4,44
206,773,459,1,4,45
26,665,382,1,5,1
30,669,383,1,5,2
26,665,382,1,5,3
23,662,381,1,5,4
20,659,380,1,5,5
16,655,379,1,5,6
16,655,379,1,5,7
13,652,378,1,5,8
13,652,378,1,5,9
10,649,377,1,5,10
6,645,376,1,5,11
3,642,375,1,5,12
3,642,375,1,5,13
0,638,374,1,5,14
0,638,374,1,5,15
0,638,374,1,5,16
-3,635,373,1,5,17
0,638,374,1,5,18
-3,635,373,1,5,19
-6,632,372,1,5,20
-6,632,372,1,5,21
-6,632,372,1,5,22
-6,632,372,1,5,23
-10,628,371,1,5,24
-10,628,371,1,5,25
-6,632,372,1,5,26
0,638,374,1,5,27
10,649,377,1,5,28
26,665,382,1,5,29
47,686,388,1,5,30
67,706,394,1,5,31
87,726,400,1,5,32
104,743,405,1,5,33
121,760,410,1,5,34
131,770,413,1,5,35
144,783,417,1,5,36
154,793,420,1,5,37
161,800,422,1,5,38
171,810,425,1,5,39
178,817,427,1,5,40
184,823,429,1,5,41
